Task\Planned action\Planned outcome\Time estimated\Target completion date
\Work on code\removed unused file variable\  \2018-12-03 (10 days ago)
\Work on code\cleaned up\  \2018-11-12 (4 weeks ago)
\Work on code\added op.gif + deleted some duplicate files\  \2018-11-12 (4 weeks ago)
\Work on code\sync\  \2018-11-11 (5 weeks ago)
\Work on code\fixed output not opening\  \2018-11-07 (5 weeks ago)
\Work on code\removed 1 thing\  \2018-11-07 (5 weeks ago)
\Work on code\added more umls\  \2018-11-07 (5 weeks ago)
\Work on code\sync\  \2018-11-07 (5 weeks ago)
\Work on code\fixed width issues\  \2018-11-06 (5 weeks ago)
\Work on code\output looks nicer also fixed the sorting issue by making a temp copy of the hitLinks\  \2018-11-06 (5 weeks ago)
\Work on code\changed to LDA multicore\  \2018-11-05 (5 weeks ago)
\Work on code\syncing classifier2 still crashes on CoherenceModel\  \2018-11-05 (5 weeks ago)
\Work on code\added mallet and trump3078 dataset\  \2018-11-02 (6 weeks ago)
\Work on code\biggest dataset\  \2018-11-01 (6 weeks ago)
\Work on code\html works well\  \2018-11-01 (6 weeks ago)
\Work on code\updated links.csv\  \2018-10-31 (6 weeks ago)
\Work on code\started saveToHTML()\  \2018-10-31 (6 weeks ago)
\Work on code\added getFreq2()\  \2018-10-31 (6 weeks ago)
\Work on code\updated classifier.py\  \2018-10-30 (6 weeks ago)
\Work on code\classifier updated and moved some stuff around\  \2018-10-29 (6 weeks ago)
\Work on code\updated classifier.py\  \2018-10-29 (6 weeks ago)
\Work on code\topic modeling ACTUALLY KIND OF WORKS!!!\  \2018-10-29 (7 weeks ago)
\Work on code\no duplicate articles\  \2018-10-28 (7 weeks ago)
\Work on code\changed screenshots\  \2018-10-28 (7 weeks ago)
\Work on code\changed a lot - changed datastructure and started on python\  \2018-10-28 (7 weeks ago)
\Work on code\sorting algorithm updated with multiple delimiters\  \2018-10-27 (7 weeks ago)
\Work on code\database works, added compareTo to Link, but sorting algorithm isn't good\  \2018-10-26 (7 weeks ago)
\Work on code\added FinalLinks Derby database\  \2018-10-26 (7 weeks ago)
\Work on code\tried to fix continuous errors on output\  \2018-10-16 (8 weeks ago)
\Work on code\started migrating to ranking output by termFreq\  \2018-10-15 (8 weeks ago)
\Work on code\update ia\  \2018-10-12 (9 weeks ago)
\Work on code\started framework for modes array\  \2018-10-11 (9 weeks ago)
\Work on code\update ia\  \2018-10-11 (9 weeks ago)
\Work on code\hit count works!\  \2018-10-11 (9 weeks ago)
\Work on code\added error color codes\  \2018-10-10 (9 weeks ago)
\Work on code\added search settings and error color flashing\  \2018-10-09 (9 weeks ago)
\Work on code\CHANGED SOURCES TO VECTOR\  \2018-10-09 (9 weeks ago)
\Work on code\Merge origin/master\  \2018-10-09 (9 weeks ago)
\Work on code\added link and stuff\  \2018-10-08 (9 weeks ago)
\Work on code\delimit in comma csv\  \2018-10-08 (9 weeks ago)
\Work on code\Delete Mon Oct  8 13:49:14 EDT 2018.txt\  \2018-10-08 (9 weeks ago)
\Work on code\added purposes to each file, 10\  \2018-10-08 (9 weeks ago)
\Work on code\added log_MAC.command\  \2018-10-08 (9 weeks ago)
\Work on code\fixed scroller not updating and added catch to prohibit source modification while running\  \2018-10-08 (9 weeks ago)
\Work on code\updated working tree\  \2018-10-08 (10 weeks ago)
\Work on code\updated IA.docx\  \2018-10-06 (10 weeks ago)
\Work on code\fixed some formatting\  \2018-10-06 (10 weeks ago)
\Work on code\fixed some formatting\  \2018-10-06 (10 weeks ago)
\Work on code\about to migrate to full on LINK\  \2018-10-06 (10 weeks ago)
\Work on code\open out opens links.txt\  \2018-10-05 (10 weeks ago)
\Work on code\ICONS WORK!!!\  \2018-10-05 (10 weeks ago)
\Work on code\mainly just updated working tree\  \2018-10-05 (10 weeks ago)
\Work on code\added tooltips\  \2018-10-04 (2 months ago)
\Work on code\changed screenshot\  \2018-10-04 (2 months ago)
\Work on code\made some things more consistent\  \2018-10-04 (2 months ago)
\Work on code\renamed variables and took out the trash\  \2018-10-04 (2 months ago)
\Work on code\update\  \2018-10-03 (2 months ago)
\Work on code\improved quit time by 99%\  \2018-10-02 (2 months ago)
\Work on code\source editor doesnt work but ok to revert to\  \2018-10-02 (2 months ago)
\Work on code\addasource sucks so were gonna fix that next\  \2018-10-01 (2 months ago)
\Work on code\fixed scrolling stuff\  \2018-10-01 (2 months ago)
\Work on code\more cosmetic\  \2018-10-01 (2 months ago)
\Work on code\added constant for output size and formatted scroller a little\  \2018-10-01 (2 months ago)
\Work on code\Added automatic refresh plus complete notification\  \2018-09-29 (3 months ago)
\Work on code\minor\  \2018-09-28 (3 months ago)
\Work on code\BIG ONE : THREAD STOP WORKS\  \2018-09-28 (3 months ago)
\Work on code\modified some names\  \2018-09-28 (3 months ago)
\Work on code\added uml project\  \2018-09-28 (3 months ago)
\Work on code\updated writeup\  \2018-09-27 (3 months ago)
\Work on code\added reuters\  \2018-09-26 (3 months ago)
\Work on code\Added apache common codec\  \2018-09-26 (3 months ago)
\Work on code\change to vector\  \2018-09-25 (3 months ago)
\Work on code\continuing linkset\  \2018-09-25 (3 months ago)
\Work on code\started linkset\  \2018-09-25 (3 months ago)
\Work on code\Added Link Class\  \2018-09-25 (3 months ago)
\Work on code\ADDED ia\  \2018-09-24 (3 months ago)
\Work on code\replace datasets\  \2018-09-19 (3 months ago)
\Work on code\added files\  \2018-09-19 (3 months ago)
\Work on code\fixed source updating problem and added datasets\  \2018-09-18 (3 months ago)
\Work on code\update sc\  \2018-09-17 (3 months ago)
\Work on code\added verbose option\  \2018-09-17 (3 months ago)
\Work on code\updated scroller\  \2018-09-16 (3 months ago)
\Work on code\added long out\  \2018-09-14 (3 months ago)
\Work on code\update\  \2018-09-14 (3 months ago)
\Work on code\moved scroll to scroller\  \2018-09-14 (3 months ago)
\Work on code\disregard source changes, but scroll works\  \2018-09-14 (3 months ago)
\Work on code\finished message is good\  \2018-09-14 (3 months ago)
\Work on code\fixed concurrency error when clicking extract when running\  \2018-09-13 (3 months ago)
\Work on code\MAJOR MAJOR MAJOR - STOP FINALLY WORKS OKAY - some sync probs tho\  \2018-09-13 (3 months ago)
\Work on code\update\  \2018-09-13 (3 months ago)
\Work on code\progress output works well\  \2018-09-13 (3 months ago)
\Work on code\Updated formatting\  \2018-09-13 (3 months ago)
\Work on code\Extends thread not implements runnable. now can access extractor vars so cool\  \2018-09-12 (3 months ago)
\Work on code\OK to revert - progress bar works great\  \2018-09-11 (3 months ago)
\Work on code\dont revert just updating progress\  \2018-09-10 (3 months ago)
\Work on code\MAJOR. REVERT TO HERE.  Progress works!\  \2018-09-10 (3 months ago)
\Work on code\background runner works well\  \2018-09-10 (3 months ago)
\Work on code\extractorcontainer is replaced by background runner\  \2018-09-10 (3 months ago)
\Work on code\just backing up work DO NOT REVERT\  \2018-09-10 (3 months ago)
\Work on code\update working tree dont revert to here\  \2018-09-10 (3 months ago)
